Metric,Estimate,CI Lower (95%),CI Upper (95%)
Mean Price (EUR),107140.67277552461,99045.62068005063,115885.60593416229
Median Price (EUR),97321.35464880557,88655.53900990625,107028.40038935756
Price Std Dev (EUR),29587.630434844712,23464.312562243023,34030.24784047683
Mean Buildings,1432.6666666666667,1337.7911458333333,1523.8364583333332
Mean Sales,3042.7708333333335,2875.7223958333334,3211.1890625
