quarter,p5,p25,median,p75,p95,mean,std
0,166795.77437691297,166795.77437691297,166795.77437691297,166795.77437691297,166795.77437691297,166795.77437691297,0.0
1,154241.8766194786,162918.12449021116,169114.45031006157,175582.4416734664,185349.2059091295,169383.26112765304,9477.319742624832
2,151056.43745606387,162688.34725129165,171597.46075028763,180837.15011140748,195550.10567305048,172155.30572848304,13560.637817482024
3,148033.9790696745,162856.04891704666,173891.53420193246,185861.19470350858,204272.22308605627,174747.57733548322,17129.04872957913
4,146131.22896304715,163337.15917448117,176269.35858011793,190595.3177414613,211943.76239283697,177406.85427117208,20040.600987904007
5,144769.7004424969,164356.8441182474,178918.8712655473,194877.936273547,219399.0589866903,180243.23035925612,22710.778880581773
6,144658.5684221615,165465.5230688834,181474.63647699123,198841.4472465762,226833.218441967,183056.5782299819,25112.711077134405
7,144381.87414902984,166608.46418431756,184145.3997773123,203417.27270015038,233677.79739896258,186028.3571662119,27569.956056795312
8,143910.92324826051,167793.8002443041,186803.2407070989,207148.75641909192,242092.04350651303,188934.58356123604,30060.74324023046
